method,duration_us,state,draw_id,role,role_id,frame_id,seed_tuple
dgi,25,connected_modulated,54,open_reference,4,0,20260818;5301;25;1;1;54;4;0
dgi,25,connected_modulated,54,open_dark,5,0,20260818;5301;25;1;1;54;5;0
dgi,25,connected_modulated,55,atom_stop,1,1,20260818;5301;25;1;1;55;1;1
dgi,25,connected_modulated,55,leakage_stop,2,0,20260818;5301;25;1;1;55;2;0
dgi,25,connected_modulated,55,stop_dark,3,0,20260818;5301;25;1;1;55;3;0
dgi,25,connected_modulated,55,open_reference,4,0,20260818;5301;25;1;1;55;4;0
dgi,25,connected_modulated,55,open_dark,5,0,20260818;5301;25;1;1;55;5;0
dgi,25,connected_modulated,56,atom_stop,1,1,20260818;5301;25;1;1;56;1;1
dgi,25,connected_modulated,56,leakage_stop,2,0,20260818;5301;25;1;1;56;2;0
dgi,25,connected_modulated,56,stop_dark,3,0,20260818;5301;25;1;1;56;3;0
dgi,25,connected_modulated,56,open_reference,4,0,20260818;5301;25;1;1;56;4;0
dgi,25,connected_modulated,56,open_dark,5,0,20260818;5301;25;1;1;56;5;0
dgi,25,connected_modulated,57,atom_stop,1,1,20260818;5301;25;1;1;57;1;1
dgi,25,connected_modulated,57,leakage_stop,2,0,20260818;5301;25;1;1;57;2;0
dgi,25,connected_modulated,57,stop_dark,3,0,20260818;5301;25;1;1;57;3;0
dgi,25,connected_modulated,57,open_reference,4,0,20260818;5301;25;1;1;57;4;0
dgi,25,connected_modulated,57,open_dark,5,0,20260818;5301;25;1;1;57;5;0
dgi,25,connected_modulated,58,atom_stop,1,1,20260818;5301;25;1;1;58;1;1
dgi,25,connected_modulated,58,leakage_stop,2,0,20260818;5301;25;1;1;58;2;0
dgi,25,connected_modulated,58,stop_dark,3,0,20260818;5301;25;1;1;58;3;0
dgi,25,connected_modulated,58,open_reference,4,0,20260818;5301;25;1;1;58;4;0
dgi,25,connected_modulated,58,open_dark,5,0,20260818;5301;25;1;1;58;5;0
dgi,25,connected_modulated,59,atom_stop,1,1,20260818;5301;25;1;1;59;1;1
dgi,25,connected_modulated,59,leakage_stop,2,0,20260818;5301;25;1;1;59;2;0
dgi,25,connected_modulated,59,stop_dark,3,0,20260818;5301;25;1;1;59;3;0
dgi,25,connected_modulated,59,open_reference,4,0,20260818;5301;25;1;1;59;4;0
dgi,25,connected_modulated,59,open_dark,5,0,20260818;5301;25;1;1;59;5;0
dgi,25,connected_modulated,60,atom_stop,1,1,20260818;5301;25;1;1;60;1;1
dgi,25,connected_modulated,60,leakage_stop,2,0,20260818;5301;25;1;1;60;2;0
dgi,25,connected_modulated,60,stop_dark,3,0,20260818;5301;25;1;1;60;3;0
dgi,25,connected_modulated,60,open_reference,4,0,20260818;5301;25;1;1;60;4;0
dgi,25,connected_modulated,60,open_dark,5,0,20260818;5301;25;1;1;60;5;0
dgi,25,connected_modulated,61,atom_stop,1,1,20260818;5301;25;1;1;61;1;1
dgi,25,connected_modulated,61,leakage_stop,2,0,20260818;5301;25;1;1;61;2;0
dgi,25,connected_modulated,61,stop_dark,3,0,20260818;5301;25;1;1;61;3;0
dgi,25,connected_modulated,61,open_reference,4,0,20260818;5301;25;1;1;61;4;0
dgi,25,connected_modulated,61,open_dark,5,0,20260818;5301;25;1;1;61;5;0
dgi,25,connected_modulated,62,atom_stop,1,1,20260818;5301;25;1;1;62;1;1
dgi,25,connected_modulated,62,leakage_stop,2,0,20260818;5301;25;1;1;62;2;0
dgi,25,connected_modulated,62,stop_dark,3,0,20260818;5301;25;1;1;62;3;0
dgi,25,connected_modulated,62,open_reference,4,0,20260818;5301;25;1;1;62;4;0
